user_id,name,time,rating,text,pics,resp,gmap_id,review_length
103392824408010910882,noor h,1531427626954,4,Love walking around the commons window shopping or grab a quick lunch at the many fine restaurants,,,0x880ee2bde3b39bd7:0xa8d64f8384c145ea,17
116897897043046472704,Jonathan D.,1564241879933,5,See Dave or Jimmy for the best prices and service!,[{'url': ['https://lh5.googleusercontent.com/p/AF1QipMnk-peRpACoDXmygsYj15-5iVBu6x5maA7-tY6=w150-h150-k-no-p']}],,0x880fd2db31ce072f:0x421839403c0f107,10
104388761655012800076,Catherine Buck,1607899543454,1,Ordered pics online. Their website told me they were ready and I walk 5 blocks to get them and they are temporarily closed. Called and was told they didn't know when they would open. Why did they send me the email??. Never again,,,0x880fcc0d77ba2347:0x20967d814de046f5,43
104747061886553836768,Elysia Aufmuth,1530569707518,5,"This place is soooo delicious. Staff help you understand the menu if you are new to Persian food. You can keep it simple and do kabobs and grilled veggies. Or you can do more traditional foods with great flavors and seasonings. You order at the counter and they will bring you the food. Unless you are extremely hungry, I recommend sharing an entree with 2-3 people as the servings are HUGE. The soup is awesome too. Good for kids, families, and large groups.",,,0x880fcde53cdf6645:0xf8547f8f5e0dfdb3,83
103958867438683925040,BRENT BROWN,1579892972437,2,Overpriced,,,0x880a590781e042dd:0x514f20e0f5ed4cf5,1
106590121556572758637,Jennetta Ford-Barker,1586998336872,5,"Extremely knowledgeable, patient, and friendly about what exterior products I needed to complete my project!",,"{'time': 1587048496358, 'text': 'Thank you for sharing this positive feedback with us and for recommending our store! Sincerely, T.H., SW Customer Service Rep.'}",0x880e172b5947f023:0x5b6901098c78f1d,15
105428172525639360872,Marc Morris,1572535303132,4,"Clean, we'll stocked, cordial personnel.",,,0x880f92e9739041b1:0x95f0e1d341401f14,5
107795675383185314044,Jacob Yu,1554403521202,4,"Pretty good viet food in the suburbs, best you'll get outside of argyle I would say.  Service can be a bit slow though and it is a small place so ita noy great for large groups",,,0x880fb9363d5e22ef:0x22a15cda4e904d39,36
110755411331857432678,aqua marine,1578116933779,1,Everything was good except for room service. I am here tonight and have been waiting for almost an hour for a extra blanket and pillow. Called like 5 x and we still haven’t gotten a pillow and blanket to sleep as I write.,,"{'time': 1578411082130, 'text': ""Hi! We're sorry to hear you had this experience. Can you email us at guestrelations@greatwolf.com with your confirmation number so we can look into this further?""}",0x880f8e1aef2b855b:0x6415b9d50bcb823c,43
101804868216983422661,Jayme Reed,1516854476928,5,Great customer service.  We were seen very promptly by a tech and then the Nurse Practitioner was very kind and professional.  We will defentaly be back for minor services.,,,0x880983838a3cb719:0x2e5b8ef02cd77ae4,29
101173641163171851769,Diana Tyler,1519524900728,5,"Great service, great food",,,0x880f145b48b18f9f:0xfd78c883001dfeee,4
102508731251757000587,Isabel Izaguirre,1528647708251,5,My always go to place to get my books. My nerdy haven lol,,,0x880e4c437272e88d:0xd506fcff7721b370,13
100756880639410334633,IAMCLOVER007,1562340498612,5,Fast check outs,,,0x880af1256e05c223:0x1777a9c3996e8ad5,3
107387616739333097103,Luke Shouse,1515339786116,3,They're decent on prices but their poor selection of classic films leaves something to be desired.,,,0x88086968cc7e296b:0x7477290607e1c677,16
101185924917859393898,Patricia Mitchell,1564022280904,4,"The Mocha Frapee and Carmel ice coffee was good...but liquid was running down cup, of ice coffee making it messy and slippery...I had to ask for napkins",,,0x880e1923ad6bdb27:0x1453f55712170c45,27
117914634070947889111,Keith Washington,1524243781423,4,"Very professional, not a long wait!",,,0x880e286f57dbbbc7:0xc332918f5e1ae7e6,6
113146959308201765431,salvic saavedra,1517247289642,5,"They are so clean, friendly people,A Must try",,"{'time': 1517694056468, 'text': 'Hi Salvic, thank you so much for your review.'}",0x880fcf633930bf2d:0xdb037acbcc07376f,8
113496993345057687587,Cory M,1611004834191,5,"Great stop for anything and everything you need! Honest, fast, and kind service here!

Have been going here for 20+ years!",,,0x880cd7905af3d3f1:0x4de5e07b5e708d9f,21
108134509170164277318,Carolina,1531402444484,5,Love it here!,,"{'time': 1533760380382, 'text': 'Carolina, Thank you for your 5 star review. We appreciate it.'}",0x880f03f039b52341:0x5d141e03ab94531c,3
108162702277570186329,Barbara Cline,1577671783642,3,"Food was good service not good order drinks they did not come before the meal or during the meal cancel them
Ordered cornbread it was served after the meal cancelled it
Who was not good enough for me to go back for bad service",,,0x880e2916d459f631:0x6e3324c14f9342b,44
114081222757203459076,Yolanda Brewer,1459790068660,4,Seems  to be a very upcoming  security  agency.,,,0x880e345875fa298f:0x34aa86aa39745144,8
117907142618275845372,Zach Pittsenbarger,1587419626488,3,Wait service was rather inattentive and cost for a few shared plates was quite high for run-of-the mill Mexican fare,,,0x880fd300b1c75597:0x7714719bb5a50a1a,20
